event_timestamp,user_id,ad_campaign_id,conversion_type
2024-03-20T13:08:52,090-976-5691,ad-470792,click_ad
2024-02-15T16:04:31,906-350-1011,ad-838433,view_ad
2024-03-04T09:26:03,546-430-4728,ad-040920,click_ad
2024-02-18T19:30:15,550-833-0645,ad-168571,view_content
2024-03-20T13:08:52,090-976-5691,ad-470792,click_ad
2024-01-20T16:45:47,735-713-0654,ad-893820,sign_up
2024-04-20T03:26:00,386-490-5199,ad-062402,click_ad
2024-03-20T13:08:52,090-976-5691,ad-470792,click_ad
2024-04-30T16:37:07,270-714-4001,ad-831612,view_content
2024-01-10T04:19:09,852-941-0205,ad-682008,view_ad
2024-04-26T11:35:08,675-367-8395,ad-397837,view_ad
2024-01-08T07:09:29,234-939-4898,ad-030034,view_content
2024-01-20T05:11:45,145-038-8036,ad-988202,sign_up
2024-05-02T05:34:27,901-711-9356,ad-792126,sign_up
2024-04-26T11:35:08,675-367-8395,ad-397837,view_ad
2024-03-04T09:26:03,546-430-4728,ad-040920,click_ad
2024-05-07T21:42:32,958-244-0653,ad-267139,sign_up
2024-01-09T18:37:12,175-427-3352,ad-391684,click_ad
2024-04-14T02:48:17,566-433-4482,ad-794609,sign_up
2024-04-28T22:28:24,106-456-7832,ad-743477,view_ad
2024-01-20T05:11:45,145-038-8036,ad-988202,sign_up
2024-01-10T04:27:03,736-167-2793,ad-654589,sign_up
2024-03-22T13:09:06,832-217-6738,ad-237954,view_ad
2024-04-09T16:11:30,829-954-8363,ad-789021,view_ad
2024-01-18T22:59:50,634-258-5873,ad-485220,view_ad
2024-01-28T01:44:06,459-816-7209,ad-122381,view_ad
2024-04-26T11:35:08,675-367-8395,ad-397837,view_ad
2024-02-12T18:28:03,719-688-5046,ad-686650,sign_up
2024-01-08T07:09:29,234-939-4898,ad-030034,view_content
2024-02-07T13:33:01,713-428-0758,ad-644770,view_content
2024-05-07T21:42:32,958-244-0653,ad-267139,sign_up
2024-05-02T05:34:27,901-711-9356,ad-792126,sign_up
2024-04-29T22:37:38,591-380-4041,ad-469180,click_ad
2024-04-22T06:54:23,573-416-0331,ad-378351,click_ad
2024-01-15T20:07:35,933-108-8369,ad-188229,view_content
2024-04-21T09:35:58,680-008-8406,ad-572164,click_ad
2024-02-19T21:06:13,322-995-4157,ad-615595,view_ad
2024-04-09T16:47:28,697-921-8712,ad-792970,click_ad
2024-04-09T16:11:30,829-954-8363,ad-789021,view_ad
2024-01-25T23:14:53,738-009-6587,ad-040804,click_ad
2024-04-25T21:14:42,643-259-6993,ad-967569,view_ad
2024-03-04T07:17:19,655-218-9141,ad-073949,sign_up
2024-04-29T22:37:38,591-380-4041,ad-469180,click_ad
2024-01-20T05:11:45,145-038-8036,ad-988202,sign_up
2024-04-21T09:35:58,680-008-8406,ad-572164,click_ad
2024-04-19T20:38:17,670-333-4240,ad-308085,view_ad
2024-04-20T03:37:51,526-137-1056,ad-992050,view_ad
2024-03-04T09:26:03,546-430-4728,ad-040920,click_ad
2024-03-23T03:10:47,338-783-5358,ad-970630,view_content
2024-01-18T19:59:47,215-337-8572,ad-803010,view_content
2024-01-15T20:07:35,933-108-8369,ad-188229,view_content
2024-03-18T15:04:43,573-416-0331,ad-998821,view_ad
2024-01-10T04:27:03,736-167-2793,ad-654589,sign_up
2024-01-11T19:56:43,306-610-0406,ad-413331,view_content
2024-04-27T21:55:48,361-722-8495,ad-882741,view_content
2024-01-12T14:42:54,985-094-3378,ad-344998,sign_up
2024-02-29T12:02:55,700-530-9874,ad-639703,view_content
2024-03-30T17:22:13,733-016-8730,ad-383754,click_ad
2024-03-18T15:04:43,573-416-0331,ad-998821,view_ad
2024-03-28T17:38:00,216-961-4237,ad-255962,view_content
2024-02-26T07:42:55,359-010-7957,ad-570921,click_ad
2024-01-04T05:37:31,802-872-6607,ad-988581,view_ad
2024-03-20T13:08:52,090-976-5691,ad-470792,click_ad
2024-03-08T02:04:09,442-664-4079,ad-014259,view_content
2024-02-13T03:35:15,660-959-5685,ad-791158,view_content
